DeviceName,Serial_Number
inhusz1-ldt2107.corp.cyient.com,00330-80000-00000-AA627
inhusz1-ldt3ztj.corp.cyient.com,00330-80000-00000-AA333
inhusz1-ldt453.corp.cyient.com,00330-80000-00000-AA556
inhusz1-ldt4808.corp.cyient.com,00330-80000-00000-AA296
inhusz1-ldt4ztj.corp.cyient.com,00330-80000-00000-AA865
inhusz1-ldt6ztj.corp.cyient.com,00330-80000-00000-AA378
inhusz1-ldt7485.corp.cyient.com,00330-80000-00000-AA996
inhusz1-ldt8ztj.corp.cyient.com,00331-60000-00000-AA415
inhusz1-ldt9ztj.corp.cyient.com,00330-80000-00000-AA198
inhusz1-ldtbztj.corp.cyient.com,00330-80000-00000-AA974
inhusz1-ldthztj.corp.cyient.com,00330-80000-00000-AA635
inhusz1-ldw01566.corp.cyient.com,00329-00000-00003-AA063
inhusz1-ldw0267.corp.cyient.com,00329-00000-00003-AA289
inhusz1-ldw0312.corp.cyient.com,00329-10380-23679-AA037
inhusz1-ldw03382.corp.cyient.com,00329-10380-00153-AA981
inhusz1-ldw0875.corp.cyient.com,00330-80000-00000-AA746
inhusz1-ldw0g86.corp.cyient.com,00330-80000-00000-AA812
inhusz1-ldw0lk3.corp.cyient.com,00330-80000-00000-AA369
inhusz1-ldw1531.corp.cyient.com,00330-80000-00000-AA554
inhusz1-ldw1563.corp.cyient.com,00329-00000-00003-AA752
inhusz1-ldw1565.corp.cyient.com,00329-00000-00003-AA165
inhusz1-ldw1567.corp.cyient.com,00329-00000-00003-AA975
inhusz1-ldw1776.corp.cyient.com,00330-80000-00000-AA898
inhusz1-ldw1785.corp.cyient.com,00330-80000-00000-AA494
inhusz1-ldw1787.corp.cyient.com,00329-10380-23679-AA911
inhusz1-ldw1791.corp.cyient.com,00330-80000-00000-AA460
inhusz1-ldw1796.corp.cyient.com,00329-10380-75727-AA147
inhusz1-ldw1797.corp.cyient.com,00330-80000-00000-AA197
inhusz1-ldw1799.corp.cyient.com,00424-90230-07125-AA828
inhusz1-ldw1882.corp.cyient.com,00329-00000-00003-AA605
inhusz1-ldw1926.corp.cyient.com,00330-80000-00000-AA399
inhusz1-ldw1931.corp.cyient.com,00329-10380-75727-AA982
inhusz1-ldw1933.corp.cyient.com,00330-80000-00000-AA760
inhusz1-ldw1935.corp.cyient.com,00330-80000-00000-AA656
inhusz1-ldw1936.corp.cyient.com,00330-80000-00000-AA354
